Kedalaman,Harga
0.1,4000
0.2,8000
0.3,12000
0.4,16000
0.5,20000
0.6,24000
0.7,28000
0.8,32000
0.9,36000
1,40000
1.1,45000
1.2,50000
1.3,55000
1.4,60000
1.5,65000
1.6,70000
1.7,75000
1.8,80000
1.9,85000
2,90000
2.1,96000
2.2,102000
2.3,108000
2.4,114000
2.5,120000
2.6,123000
2.7,132000
2.8,138000
2.9,144000
3,150000
3.1,157000
3.2,164000
3.3,171000
3.4,178000
3.5,185000
3.6,192000
3.7,199000
3.8,206000
3.9,213000
4,220000
4.1,228000
4.2,236000
4.3,244000
4.4,252000
4.5,260000
4.6,268000
4.7,276000
4.8,284000
4.9,292000
5,300000
5.1,309000
5.2,318000
5.3,327000
5.4,336000
5.5,345000
5.6,354000
5.7,363000
5.8,372000
5.9,381000
6,390000
6.1,400000
6.2,410000
6.3,420000
6.4,430000
6.5,440000
6.6,450000
6.7,460000
6.8,470000
6.9,480000
7,490000
7.1,501000
7.2,512000
7.3,523000
7.4,534000
7.5,545000
7.6,556000
7.7,567000
7.8,578000
7.9,589000
8,600000
8.1,612000
8.2,624000
8.3,636000
8.4,648000
8.5,660000
8.6,672000
8.7,684000
8.8,696000
8.9,708000
9,720000
9.1,733000
9.2,746000
9.3,759000
9.4,772000
9.5,785000
9.6,798000
9.7,811000
9.8,824000
9.9,837000
10,850000
